rows	threads	min_s	median_s	max_s	speedup
100000	1	8.89195704832673	8.89195704832673	8.89195704832673	1.0
100000	2	5.9668770711869	5.9668770711869	5.9668770711869	1.4902195809034806
100000	4	6.088567733764648	6.088567733764648	6.088567733764648	1.460434939241237
100000	8	4.413670899346471	4.413670899346471	4.413670899346471	2.014639797825288
100000	16	4.530752839520574	4.530752839520574	4.530752839520574	1.9625782653082533
100000	32	4.503202302381396	4.503202302381396	4.503202302381396	1.9745852953629155
100000	64	4.919805208221078	4.919805208221078	4.919805208221078	1.807379900624545
100000	128	6.097316851839423	6.097316851839423	6.097316851839423	1.4583393424345705
100000	192	6.374689690768719	6.374689690768719	6.374689690768719	1.3948846892427256
